level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	zbest	emline_flag_best	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup
50	1783.0	1.799	0.00133	150.415968	2.408113	6.913043478260869	4.0	Par003	31	1.799	1.5	150.41597418955186	2.4081137244394877	515112.0	1.625	26.78160408029694	1.625	1.5765	1.6637
51	1858.0	2.95922	0.0	150.419943	2.409027	-1.0	2.0	Par003	32	2.95922	2.0	150.41994242249066	2.409033594219688	515482.0	1.645	24.626882491497554	1.645	1.5291	2.1323
52	1970.0	2.18636	0.0	150.392092	2.410353	9.1869918699187	4.0	Par003	33	2.18636	4.0	150.3920747628319	2.410365987651793	514322.0	2.3869	25.27586232798501	2.3869	2.3764	2.4419
53	1982.0	2.73348	0.00097	150.421684	2.410644	-1.0	3.0	Par003	34	2.73348	3.0	150.42168478068203	2.410646964698352	515806.0	2.2493	25.127332712015587	2.2493	2.1968	2.2811
54	2035.0	1.94389	0.0	150.423688	2.411188	5.866666666666666	4.0	Par003	35	1.94389	4.0	150.42368904963078	2.411187469665975	515984.0	0.2894	25.177999949784894	0.2894	0.2305	0.3426
55	2049.0	2.63121	0.0	150.395608	2.411267	-1.0	2.0	Par003	36	2.63121	2.0	150.39561039585155	2.4112593770126134	514582.0	2.6168	25.51128695722539	2.6168	0.0451	2.6753
56	2119.0	2.89273	0.0	150.408549	2.411861	-1.0	2.0	Par003	37	2.89273	2.0	150.40854965922622	2.4118621964497593	515275.0	2.9051	24.21447468334522	2.9051	2.8693	2.9596
57	2189.0	2.03553	0.0012	150.400464	2.412732	5.823293172690764	4.0	Par003	38	2.03553	1.5	150.40046561029786	2.412732726554162	514979.0	2.1646	25.460344502450152	2.1646	2.0715	2.2744
59	2277.0	2.13632	0.0	150.418069	2.413844	7.045454545454546	4.0	Par003	39	2.13632	4.0	150.41807079894107	2.4138408573619135	516072.0	-99.0	27.634275612459195	1.6391	0.9773	2.4672
60	2354.0	2.6265	0.00183	150.40466	2.41486	-1.0	4.0	Par003	40	2.6265	4.0	150.40466345993656	2.414852049370564	536643.0	2.8884	28.025234371122828	2.8884	2.7285	3.0394
62	2525.0	2.15767	0.0	150.424645	2.416692	6.563573883161512	4.0	Par003	41	4.559596473822477	1.5	150.4246394188085	2.4166934443871098	516760.0	4.6812	24.834497272122135	4.6812	4.6352	4.7182
