level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup	cosmos2020ra	cosmos2020dec	cosmos2020id	cosmos2020z	cosmos2020hst	cosmos2020zlow	cosmos2020zup
148	1976.0	1.31146	0.00071	150.637706	2.084952	15.985401459854014	2.0	Par005	120	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6377268595008	2.0849524103745556	693581.0	0.2836	25.280630111694336	0.2149	0.3097
150	1989.0	2.02143	0.0	150.638228	2.084918	-1.0	1.0	Par005	122	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6382227132329	2.084925590031237	695273.0	2.2703	23.421043395996094	2.2303	2.3178
151	1995.0	1.51742	0.0	150.649205	2.085152	6.518248175182482	1.0	Par005	123	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64921410422699	2.0851372124910177	693507.0	1.6635	26.417457580566406	1.3606	2.0496
152	2015.0	1.34603	0.0	150.644933	2.085318	10.396039603960396	1.0	Par005	124	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64492891883182	2.085334490827623	693974.0	1.3145	25.58870506286621	1.2469	1.3905
153	2033.0	1.20339	0.00207	150.657827	2.085514	4.223107569721115	4.0	Par005	125	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65784789588247	2.085506040900051	693908.0	1.8639	27.340301513671875	1.5586	2.2441
154	2067.0	1.16141	0.00137	150.639539	2.085708	5.841232227488152	2.0	Par005	126	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6394946359881	2.085749911180505	694170.0	1.0251	26.65863800048828	0.9028	1.1417
155	2089.0	2.10935	0.00045	150.643483	2.085891	-1.0	1.0	Par005	127	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6434681347673	2.0859020377241713	694328.0	2.1752	26.53032112121582	1.1664	2.5188
156	2123.0	1.22056	0.00125	150.63997	2.086269	5.6410256410256405	2.0	Par005	128	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63996199672113	2.0862707738173767	694720.0	1.9583	25.342458724975586	1.7026	2.2607
157	2131.0	1.15882	0.0	150.635064	2.086215	9.363636363636363	4.0	Par005	129	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6350629046589	2.0862258296499254	695034.0	1.0644		0.9056	1.3015
159	2162.0	1.40898	0.00139	150.66531	2.086616	3.6380952380952376	4.0	Par005	131	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66531471496688	2.08662310081329	695062.0	1.5295	26.377422332763672	1.3335	1.9129
160	2167.0	1.19549	0.0008	150.662142	2.086571	8.177339901477833	1.0	Par005	132	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66213580050075	2.086567973381502	695537.0	1.1119	25.00730323791504	1.0573	1.1656
162	2211.0	1.07001	0.0	150.635274	2.086947	4.269521410579346	4.0	Par005	134	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63526834344165	2.0869449360876122	695883.0	1.8488	24.714649200439453	1.7387	1.9658
164	2308.0	1.17632	0.00084	150.659476	2.087896	11.477272727272728	1.0	Par005	136	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6594866761111	2.0878268547059653	697299.0	0.7851	26.203371047973633	0.753	0.8332
165	2391.0	0.79801	0.0	150.66288	2.088667	5.953307392996108	4.0	Par005	137	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66288535004793	2.088673263151775	697644.0	0.8149	25.66367530822754	0.7744	0.8585
166	2396.0	1.07001	0.0	150.641453	2.088547	10.37735849056604	4.0	Par005	138	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64140971723563	2.0885747903186105	697816.0	1.7611	24.342388153076172	1.708	1.8236
168	2407.0	1.9236	0.0	150.643433	2.088766	-1.0	1.0	Par005	140	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64347948011743	2.088747174847905	697550.0	1.8204	25.75423240661621	1.7034	1.9475
169	2541.0	1.48801	0.0	150.650354	2.090195	8.3739837398374	1.0	Par005	141	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65034280937647	2.0901989995298718	698895.0	1.4798	25.565168380737305	1.3861	1.6663
176	2777.0	1.46447	0.00019	150.655912	2.092417	27.596153846153847	1.0	Par005	148	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65597248520797	2.0924343238288166	701535.0	1.3266	24.885278701782227	1.2521	1.398
177	2778.0	1.43703	0.0024	150.65604	2.092429	2.287749287749288	2.0	Par005	149	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65597248520797	2.0924343238288166	701535.0	1.3266	24.885278701782227	1.2521	1.398
179	2800.0	1.37376	0.0	150.652822	2.092655	4.107142857142857	2.0	Par005	151	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65284556992685	2.0926536901389183	702222.0	0.8772	26.15399169921875	0.7946	1.0846
180	2876.0	1.31304	0.0	150.65796	2.093216	6.2032085561497325	1.0	Par005	152	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6579507697101	2.0932201930593344	702511.0	1.2573	24.22412872314453	1.2265	1.2898
181	2915.0	1.25143	0.0	150.652681	2.093569	36.1139896373057	1.0	Par005	153	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65267972021903	2.0935419620969506	702364.0	1.2487	23.634353637695312	1.2278	1.2613
183	2974.0	1.38575	0.0	150.649072	2.094176	4.581673306772909	2.0	Par005	155	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64905374586075	2.094190315853969	702647.0	1.5047	26.397457122802734	1.1925	2.0611
186	3096.0	1.2368	0.0007	150.632795	2.095307	13.00751879699248	4.0	Par005	158	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6327918315236	2.095314567221134	704605.0	3.0569	24.164636611938477	2.9874	3.1471
187	3122.0	1.37907	0.00111	150.633206	2.095626	6.547085201793721	4.0	Par005	159	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63319847142623	2.09563011677482	704568.0	0.034	25.26708984375	0.0122	0.0572
